*/
      TIFFGetField(tiff,TIFFTAG_SUBFILETYPE,&value);
      if (value == FILETYPE_REDUCEDIMAGE)
        {
          TIFFGetField(tiff,TIFFTAG_IMAGEWIDTH,&width);
          TIFFGetField(tiff,TIFFTAG_IMAGELENGTH,&height);
          TIFFGetField(tiff,TIFFTAG_BITSPERSAMPLE,&bits_per_sample);
          TIFFGetField(tiff,TIFFTAG_SAMPLESPERPIXEL,&samples_per_pixel);
          TIFFGetField(tiff,TIFFTAG_PHOTOMETRIC,&photometric);
          TIFFGetField(tiff,TIFFTAG_COMPRESSION,&compress_tag);
          TIFFGetField(tiff,TIFFTAG_ROWSPERSTRIP,&rows_per_strip);
          TIFFGetField(tiff,TIFFTAG_RESOLUTIONUNIT,&units);
          TIFFGetField(tiff,TIFFTAG_XRESOLUTION,&x_resolution);
          TIFFGetField(tiff,TIFFTAG_YRESOLUTION,&y_resolution);
          TIFFGetField(tiff,TIFFTAG_ORIENTATION,&orientation);
          TIFFGetField(tiff,TIFFTAG_EXTRASAMPLES,&extra_samples);
          TIFFGetField(tiff,TIFFTAG_SAMPLEFORMAT,&sample_format);
          TIFFGetField(tiff,TIFFTAG_MINISBLACK,&value);
          if (value == 0)
            photometric=PHOTOMETRIC_MINISWHITE;
          TIFFGetField(tiff,TIFFTAG_MAXISWHITE,&value);
          if (value == 0)
            photometric=PHOTOMETRIC_MAXISBLACK;
          TIFFGetField(tiff,TIFFTAG_MINSAMPLEVALUE,&min_sample_value);
          TIFFGetField(tiff,TIFFTAG_MAXSAMPLEVALUE,&max_sample_value);
          TIFFGetField(tiff,TIFFTAG_YCBCRCOEFFICIENTS,&sans[0]);
          TIFFGetField(tiff,TIFFTAG_YCBCRSUBSAMPLING,&sans[1]);
          TIFFGetField(tiff,TIFFTAG_REFERENCEBLACKWHITE,&sans[2]);
          TIFFGetField(tiff,TIFFTAG_WHITEPOINT,&sans[3]);
          TIFFGetField(tiff,TIFFTAG_PRIMARYCHROMATICITIES,&sans[4]);
